Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O00189	AP4M1_HUMAN	reviewed	AP-4 complex subunit mu-1 (AP-4 adaptor complex mu subunit) (Adaptor-related protein complex 4 subunit mu-1) (Mu subunit of AP-4) (Mu-adaptin-related protein 2) (mu-ARP2) (Mu4-adaptin) (mu4)	AP4M1 MUARP2	Homo sapiens (Human)	453
Q06335	APLP2_MOUSE	reviewed	Amyloid-like protein 2 (APLP-2) (CDEI box-binding protein) (CDEBP)	Aplp2	Mus musculus (Mouse)	707
O95704	APBB3_HUMAN	reviewed	Amyloid beta A4 precursor protein-binding family B member 3 (Protein Fe65-like 2) (Fe65L2)	APBB3 FE65L2	Homo sapiens (Human)	486
Q06481	APLP2_HUMAN	reviewed	Amyloid-like protein 2 (APLP-2) (APPH) (Amyloid protein homolog) (CDEI box-binding protein) (CDEBP)	APLP2 APPL2	Homo sapiens (Human)	763
P51693	APLP1_HUMAN	reviewed	Amyloid-like protein 1 (APLP) (APLP-1) [Cleaved into: C30]	APLP1	Homo sapiens (Human)	650
P08226	APOE_MOUSE	reviewed	Apolipoprotein E (Apo-E)	Apoe	Mus musculus (Mouse)	311
Q03157	APLP1_MOUSE	reviewed	Amyloid-like protein 1 (APLP) (APLP-1) [Cleaved into: C30]	Aplp1	Mus musculus (Mouse)	653
P0C7U1	ASA2B_HUMAN	reviewed	Putative inactive neutral ceramidase B (ASAH2-like protein) (Putative inactive N-acylsphingosine amidohydrolase 2B) (Putative inactive non-lysosomal ceramidase B)	ASAH2B ASAH2C ASAH2L	Homo sapiens (Human)	165
Q9NR71	ASAH2_HUMAN	reviewed	Neutral ceramidase (N-CDase) (NCDase) (EC 3.5.1.23) (Acylsphingosine deacylase 2) (BCDase) (LCDase) (hCD) (N-acylsphingosine amidohydrolase 2) (Non-lysosomal ceramidase) [Cleaved into: Neutral ceramidase soluble form]	ASAH2 HNAC1	Homo sapiens (Human)	780
Q2HJ40	BACE1_BOVIN	reviewed	Beta-secretase 1 (EC 3.4.23.46) (Beta-site amyloid precursor protein cleaving enzyme 1) (Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)	BACE1	Bos taurus (Bovine)	501
Q1KLR6	BACE1_CAVPO	reviewed	Beta-secretase 1 (EC 3.4.23.46) (Beta-site amyloid precursor protein cleaving enzyme 1) (Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)	BACE1	Cavia porcellus (Guinea pig)	473
P56817	BACE1_HUMAN	reviewed	Beta-secretase 1 (EC 3.4.23.46) (Aspartyl protease 2) (ASP2) (Asp 2) (Beta-site amyloid precursor protein cleaving enzyme 1) (Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)	BACE1 BACE KIAA1149	Homo sapiens (Human)	501
Q96A70	AZIN2_HUMAN	reviewed	Antizyme inhibitor 2 (AzI2) (Arginine decarboxylase) (ADC) (ARGDC) (Ornithine decarboxylase-like protein) (ODC-like protein) (ornithine decarboxylase paralog) (ODC-p)	AZIN2 ADC KIAA1945 ODCP	Homo sapiens (Human)	460
Q9Y5Z0	BACE2_HUMAN	reviewed	Beta-secretase 2 (EC 3.4.23.45) (Aspartic-like protease 56 kDa) (Aspartyl protease 1) (ASP1) (Asp 1) (Beta-site amyloid precursor protein cleaving enzyme 2) (Beta-site APP cleaving enzyme 2) (Down region aspartic protease) (DRAP) (Memapsin-1) (Membrane-associated aspartic protease 1) (Theta-secretase)	BACE2 AEPLC ALP56 ASP21 CDA13 UNQ418/PRO852	Homo sapiens (Human)	518
P56818	BACE1_MOUSE	reviewed	Beta-secretase 1 (EC 3.4.23.46) (Aspartyl protease 2) (ASP2) (Asp 2) (Beta-site amyloid precursor protein cleaving enzyme 1) (Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)	Bace1 Bace	Mus musculus (Mouse)	501
O75173	ATS4_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4) (EC 3.4.24.82) (ADMP-1) (Aggrecanase-1)	ADAMTS4 KIAA0688 UNQ769/PRO1563	Homo sapiens (Human)	837
Q6IE75	BACE2_RAT	reviewed	Beta-secretase 2 (EC 3.4.23.45) (Beta-site amyloid precursor protein cleaving enzyme 2) (Beta-site APP cleaving enzyme 2) (Memapsin-1) (Membrane-associated aspartic protease 1) (Theta-secretase)	Bace2	Rattus norvegicus (Rat)	514
P56819	BACE1_RAT	reviewed	Beta-secretase 1 (EC 3.4.23.46) (Aspartyl protease 2) (ASP2) (Asp 2) (Beta-site amyloid precursor protein cleaving enzyme 1) (Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)	Bace1 Bace	Rattus norvegicus (Rat)	501
Q9HA72	CAHM2_HUMAN	reviewed	Calcium homeostasis modulator protein 2 (Protein FAM26B)	CALHM2 FAM26B	Homo sapiens (Human)	323
P55290	CAD13_HUMAN	reviewed	Cadherin-13 (Heart cadherin) (H-cadherin) (P105) (Truncated cadherin) (T-cad) (T-cadherin)	CDH13 CDHH	Homo sapiens (Human)	713
Q8IU99	CAHM1_HUMAN	reviewed	Calcium homeostasis modulator protein 1 (Protein FAM26C)	CALHM1 FAM26C	Homo sapiens (Human)	346
Q9JL18	BACE2_MOUSE	reviewed	Beta-secretase 2 (EC 3.4.23.45) (Aspartyl protease 1) (ASP1) (Asp 1) (Beta-site amyloid precursor protein cleaving enzyme 2) (Beta-site APP cleaving enzyme 2) (Memapsin-1) (Membrane-associated aspartic protease 1) (Theta-secretase)	Bace2	Mus musculus (Mouse)	514
Q6PI77	BHLH9_HUMAN	reviewed	Protein BHLHb9 (bHLHb9) (Transcription regulator of 60 kDa) (p60TRP)	BHLHB9 KIAA1701	Homo sapiens (Human)	547
Q86XJ0	CAHM3_HUMAN	reviewed	Calcium homeostasis modulator protein 3 (Protein FAM26A)	CALHM3 FAM26A	Homo sapiens (Human)	350
P49662	CASP4_HUMAN	reviewed	Caspase-4 (CASP-4) (EC 3.4.22.57) (ICE and Ced-3 homolog 2) (ICH-2) (ICE(rel)-II) (Mih1) (Protease TX) [Cleaved into: Caspase-4 subunit 1; Caspase-4 subunit 2]	CASP4 ICH2	Homo sapiens (Human)	377
P07339	CATD_HUMAN	reviewed	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]	CTSD CPSD	Homo sapiens (Human)	412
Q00535	CDK5_HUMAN	reviewed	Cyclin-dependent-like kinase 5 (EC 2.7.11.1) (Cell division protein kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit)	CDK5 CDKN5	Homo sapiens (Human)	292
Q15078	CD5R1_HUMAN	reviewed	Cyclin-dependent kinase 5 activator 1 (CDK5 activator 1) (Cyclin-dependent kinase 5 regulatory subunit 1) (TPKII regulatory subunit) [Cleaved into: Cyclin-dependent kinase 5 activator 1, p35 (p35); Cyclin-dependent kinase 5 activator 1, p25 (p25) (Tau protein kinase II 23 kDa subunit) (p23)]	CDK5R1 CDK5R NCK5A	Homo sapiens (Human)	307
Q03311	CHLE_MOUSE	reviewed	Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase)	Bche	Mus musculus (Mouse)	603
Q9QXY6	EHD3_MOUSE	reviewed	EH domain-containing protein 3	Ehd3 Ehd2	Mus musculus (Mouse)	535
Q90511	EI2BB_TAKRU	reviewed	Translation initiation factor eIF-2B subunit beta (S20I15) (eIF-2B GDP-GTP exchange factor subunit beta)	eif2b2 eif2bb	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	355
Q9WVK4	EHD1_MOUSE	reviewed	EH domain-containing protein 1 (PAST homolog 1) (mPAST1)	Ehd1 Past1	Mus musculus (Mouse)	534
O60344	ECE2_HUMAN	reviewed	Endothelin-converting enzyme 2 (ECE-2) [Includes: Methyltransferase-like region (EC 2.1.1.-); Endothelin-converting enzyme 2 region (EC 3.4.24.71)]	ECE2 KIAA0604 UNQ403/PRO740	Homo sapiens (Human)	883
P49770	EI2BB_HUMAN	reviewed	Translation initiation factor eIF-2B subunit beta (S20I15) (S20III15) (eIF-2B GDP-GTP exchange factor subunit beta)	EIF2B2 EIF2BB	Homo sapiens (Human)	351
P53450	FOS_TAKRU	reviewed	Proto-oncogene c-Fos (Cellular oncogene fos)	fos	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	376
